 Ep_number: 71, Ep_Reward: -2060.0, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 2, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 72, Ep_Reward: -2030.0, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 1, atom_shift: -2.0 
 Ep_number: 73, Ep_Reward: -2030.0, Ep_tot_steps: 200, T_overlap: 4, T_nonbonded: 197, T_tot_all_min: 3, T_similar_min: 2, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 1, atom_shift: -2.0 
 Ep_number: 74, Ep_Reward: -1990.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 194, T_tot_all_min: 6, T_similar_min: 4, T_lower_ene_min: 0, T_higher_ene_min: 2, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 7, atom_shift: -2.0 
 Ep_number: 75, Ep_Reward: -1874.2, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 196, T_tot_all_min: 4, T_similar_min: 2, T_lower_ene_min: 1, T_higher_ene_min: 1, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: 2.0 
 Ep_number: 76, Ep_Reward: -1914.3, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 1, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 77, Ep_Reward: -2060.0, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 78, Ep_Reward: -1767.3, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 0, atom_shift: -2.0 
 Ep_number: 79, Ep_Reward: -1868.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: -2.0 
 Ep_number: 80, Ep_Reward: -1918.9, Ep_tot_steps: 200, T_overlap: 10, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 1, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: 2.0 
